title,company,location,experience,salary,status,note,applied_at,url
QA Engineer,"Knowledgesprint Technologies
4.720 Reviews",Hyderabad,0-3 Yrs,N/A,applied,Apply flow completed,2026-05-15 12:34:53,https://www.naukri.com/job-listings-qa-engineer-knowledgesprint-technologies-india-pvt-ltd-hyderabad-0-to-3-years-130526502906
QA Tester (Automation & Manual Testing),Paybrook Payments Tech,Chennai,0-4 Yrs,N/A,applied,Apply flow completed,2026-05-15 12:35:17,https://www.naukri.com/job-listings-qa-tester-automation-manual-testing-paybrook-payments-tech-chennai-0-to-4-years-120526037618
Software Tester,Autonetic,Hyderabad,0-2 Yrs,N/A,failed,Apply button not found,2026-05-15 12:35:47,https://www.naukri.com/job-listings-software-tester-autonetic-software-technologies-pvt-ltd-hyderabad-0-to-2-years-050925506609
QA Tester,Appzoc,Bengaluru,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-15 12:36:14,https://www.naukri.com/job-listings-qa-tester-appzoc-bengaluru-0-to-2-years-240125500965
Manual Tester,Digital Brain Media,Lucknow,0-3 Yrs,N/A,failed,"Message: unknown error: net::ERR_INTERNET_DISCONNECTED
  (Session info: chrome=148.0.7778.97)
Stackt",2026-05-15 12:37:28,https://www.naukri.com/job-listings-manual-tester-digital-brain-media-lucknow-0-to-3-years-010526020947
Software Test Engineer,Cotech Innovations,Bengaluru,0-4 Yrs,N/A,applied,Apply flow completed,2026-05-15 12:38:10,https://www.naukri.com/job-listings-software-test-engineer-cotech-innovations-bengaluru-0-to-4-years-020625500611
Test Engineer (Manual & Automation),Testometer,Pune,0-2 Yrs,N/A,failed,Apply button not found,2026-05-15 12:38:40,https://www.naukri.com/job-listings-test-engineer-manual-automation-testometer-pune-0-to-2-years-170226504122
Manual Tester,"Livelyworks
3.48 Reviews",Nagpur,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-15 12:39:08,https://www.naukri.com/job-listings-manual-tester-livelyworks-nagpur-0-to-2-years-280624502804
Test Engineer,"Vinculum Solutions
2.3206 Reviews","Noida, Ghaziabad, Delhi / NCR",0-4 Yrs,N/A,applied,Apply flow completed,2026-05-15 12:39:31,https://www.naukri.com/job-listings-test-engineer-vinculum-solutions-noida-ghaziabad-delhi-ncr-0-to-4-years-140526014413
Manual Tester,"Webguru Technologies
4.42 Reviews",Kolkata,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-15 12:39:59,https://www.naukri.com/job-listings-manual-tester-webguru-technologies-kolkata-0-to-2-years-170226501941
Manual Tester,Testometer,Mumbai,0-1 Yrs,N/A,applied,Apply flow completed,2026-05-15 12:40:27,https://www.naukri.com/job-listings-manual-tester-testometer-mumbai-0-to-1-years-110226501393
Associate Test Engineer,"Skidos
4.418 Reviews","Noida, Sector-62",0-1 Yrs,N/A,applied,Submitted successfully,2026-05-15 12:40:42,https://www.naukri.com/job-listings-associate-test-engineer-skidos-noida-sector-62-0-to-1-years-300426913979
Associate Quality Analyst,"Davies Group
3.024 Reviews",Nagar,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-15 12:41:09,https://www.naukri.com/job-listings-associate-quality-analyst-davies-nagar-0-to-2-years-080526501754
Software Test Engineer,"Minerva Infotech
4.540 Reviews",Kolkata(Sector 5 Salt Lake),0-1 Yrs,N/A,applied,Submitted successfully,2026-05-15 12:41:23,https://www.naukri.com/job-listings-software-test-engineer-minerva-infotech-kolkata-0-to-1-years-300426021582
QA Tester,"Logic Planet
2.866 Reviews","Madurai, Tiruppur, Salem, Chennai, Tiruchirapalli, Coimbatore",0-5 Yrs,N/A,applied,Apply flow completed,2026-05-15 12:41:51,https://www.naukri.com/job-listings-qa-tester-logicplanet-it-services-madurai-tiruppur-salem-chennai-tiruchirapalli-coimbatore-0-to-5-years-240226505136
Quality Analyst Tester,"Corporate Incentive Solutions
4.417 Reviews",Chandigarh,0-2 Yrs,N/A,applied,Apply flow completed,2026-05-15 12:43:42,https://www.naukri.com/job-listings-quality-analyst-tester-cispl-chandigarh-0-to-2-years-070525501888
QA Tester,Scalelot Technologies,Surat,0-1 Yrs,N/A,failed,"Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev",2026-05-15 12:43:44,https://www.naukri.com/job-listings-qa-tester-scalelot-technologies-surat-0-to-1-years-230524500262
Associate Software Engineer - Automation Tester,Aegon Life,Mumbai,0-1 Yrs,N/A,failed,"Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev",2026-05-15 12:43:46,https://www.naukri.com/job-listings-associate-software-engineer-automation-tester-aegon-religare-life-insurance-company-ltd-mumbai-0-to-1-years-230426500266
Software Test Engineer,Dion Global Solutions,Noida,0-3 Yrs,N/A,failed,"Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev",2026-05-15 12:43:48,https://www.naukri.com/job-listings-software-test-engineer-dion-global-solutions-noida-0-to-3-years-220126504219
Senior Manual Tester,Moris Media,Noida,0-9 Yrs,N/A,failed,"Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev",2026-05-15 12:43:50,https://www.naukri.com/job-listings-senior-manual-tester-moris-media-noida-0-to-9-years-130126504997
