title,company,location,experience,salary,status,note,applied_at,url
Fullstack Developer,Akana Services,Mysuru(University of Mysore),0-1 Yrs,N/A,applied,Apply flow completed,2026-05-02 12:15:34,https://www.naukri.com/job-listings-fullstack-developer-akana-services-mysuru-0-to-1-years-200426000615
Associate Software Developer,"Conceptia
4.2125 Reviews",Bengaluru(Banashankari Stage III),0-1 Yrs,N/A,applied,Apply flow completed,2026-05-02 12:15:56,https://www.naukri.com/job-listings-associate-software-developer-conceptia-bengaluru-0-to-1-years-070226004966
"Systems Development Engineer, FireTV S2D2 LTPM Team","Amazon
3.931.3K Reviews",Bengaluru,0-6 Yrs,N/A,applied,Apply flow completed,2026-05-02 12:16:24,https://www.naukri.com/job-listings-systems-development-engineer-firetv-s2d2-ltpm-team-amazon-development-centre-india-pvt-ltd-bengaluru-0-to-6-years-300426502115
"System Development Engineer, Transactional Storage and Config","Amazon
3.931.3K Reviews",Bengaluru,0-6 Yrs,N/A,applied,Apply flow completed,2026-05-02 12:16:50,https://www.naukri.com/job-listings-system-development-engineer-transactional-storage-and-config-amazon-development-centre-india-pvt-ltd-bengaluru-0-to-6-years-010526502934
"System Development Engineer, Transactional Storage and Config","Amazon
3.931.3K Reviews",Bengaluru,0-6 Yrs,N/A,applied,Apply flow completed,2026-05-02 12:17:17,https://www.naukri.com/job-listings-system-development-engineer-transactional-storage-and-config-amazon-development-centre-india-pvt-ltd-bengaluru-0-to-6-years-010526502912
Software developer - Python/Java(Full Stack Developer),"Cabal Technologies
3.02 Reviews",Ernakulam,0-3 Yrs,N/A,applied,Apply flow completed,2026-05-02 12:17:44,https://www.naukri.com/job-listings-software-developer-python-java-full-stack-developer-cabal-technologies-ernakulam-0-to-3-years-040725503752
Full Stack Intern,"Tensorgo Technologies
2.58 Reviews",Hyderabad,0-1 Yrs,N/A,applied,Submitted successfully,2026-05-02 12:17:58,https://www.naukri.com/job-listings-full-stack-intern-tensorgo-technologies-hyderabad-0-to-1-years-310326912193
Data Mining Internship,Logicize Ip,Hyderabad,0-1 Yrs,N/A,applied,Apply flow completed,2026-05-02 12:18:25,https://www.naukri.com/job-listings-data-mining-internship-logicizeip-hyderabad-0-to-1-years-131025502188
Software Engineer,"TPF Software
5.03 Reviews",Chennai,0-8 Yrs,N/A,applied,Apply flow completed,2026-05-02 12:18:52,https://www.naukri.com/job-listings-software-engineer-tpf-software-india-pvt-ltd-chennai-0-to-8-years-270426502656
"System Development Engineer, Transactional Storage and Config","Amazon
3.931.3K Reviews",Bengaluru,0-6 Yrs,N/A,applied,Apply flow completed,2026-05-02 12:19:19,https://www.naukri.com/job-listings-system-development-engineer-transactional-storage-and-config-amazon-development-centre-india-pvt-ltd-bengaluru-0-to-6-years-270426500604
SDE Intern,"TheAware.AI
2.72 Reviews",Durgapur,0-3 Yrs,N/A,applied,Apply flow completed,2026-05-02 12:19:46,https://www.naukri.com/job-listings-sde-intern-theaware-ai-durgapur-0-to-3-years-240725504314
Software Developers & Database Architects,"560 Degree Solutions
3.212 Reviews",Trichy,0-3 Yrs,N/A,applied,Apply flow completed,2026-05-02 12:20:12,https://www.naukri.com/job-listings-software-developers-database-architects-560-degree-solutions-trichy-0-to-3-years-301118501672
AI Agent Developer Intern,"Purplle.com
3.5459 Reviews",Mumbai,0-1 Yrs,N/A,applied,Apply flow completed,2026-05-02 12:20:39,https://www.naukri.com/job-listings-ai-agent-developer-intern-purplle-com-mumbai-0-to-1-years-300725504942
Junior Java Developer,"Miko
3.380 Reviews",Mumbai,0-3 Yrs,N/A,applied,Apply flow completed,2026-05-02 12:21:08,https://www.naukri.com/job-listings-junior-java-developer-miko-mumbai-0-to-3-years-260325503501
Full Stack Developer Intern,ABEX Group,Chennai,0-1 Yrs,N/A,applied,Apply flow completed,2026-05-02 12:21:35,https://www.naukri.com/job-listings-full-stack-developer-intern-abex-group-chennai-0-to-1-years-190226503073
Java - Developer,"Godigi Infotech
2.42 Reviews",Pune,0-1 Yrs,N/A,applied,Apply flow completed,2026-05-02 12:22:02,https://www.naukri.com/job-listings-java-developer-godigi-infotech-pune-0-to-1-years-140224501786
Java / SAP / python/ BTP / react/ aws(Multiple Openings),Orcapod Consulting Services,"Hybrid - Hyderabad, Bengaluru, Chennai",0-5 Yrs,N/A,applied,Submitted successfully,2026-05-02 12:22:15,https://www.naukri.com/job-listings-java-sap-python-btp-react-aws-multiple-openings-orcapod-consulting-services-hyderabad-chennai-bengaluru-0-to-5-years-240426027501
IT - Developer,"Hsi Automotive
3.668 Reviews",Sriperumbudur,0-4 Yrs,N/A,applied,Submitted successfully,2026-05-02 12:22:29,https://www.naukri.com/job-listings-it-developer-hsi-automotive-sriperumbudur-0-to-4-years-200426010976
Power Automate Developer,"Logic Planet
2.866 Reviews","Madurai, Tiruppur, Salem, Chennai, Tiruchirapalli, Coimbatore",0-5 Yrs,N/A,applied,Apply flow completed,2026-05-02 12:22:56,https://www.naukri.com/job-listings-power-automate-developer-logicplanet-it-services-madurai-tiruppur-salem-chennai-tiruchirapalli-coimbatore-0-to-5-years-240226505146
Power Automate Developer,"Logic Planet
2.866 Reviews","Madurai, Tiruppur, Salem, Chennai, Tiruchirapalli, Coimbatore",0-5 Yrs,N/A,applied,Apply flow completed,2026-05-02 12:23:23,https://www.naukri.com/job-listings-power-automate-developer-logicplanet-it-services-madurai-tiruppur-salem-chennai-tiruchirapalli-coimbatore-0-to-5-years-240226505143
